;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
1939;;;;;;;;100;100;100;100;100
1940;100;100;100;100;99.8;99.8;99.8;99.8;99.8;99.8;99.8;99.8
1941;99.8;99.8;99.8;99.8;99.8;99.8;99.8;99.8;99.8;99.8;99.8;99.8
1942;99.8;99.8;99.8;99.8;100.1;100.1;100.1;100.1;100.1;100.1;100.1;100.1
1943;100.1;100.1;100.1;100.1;100.3;100.3;100.3;100.3;100.3;100.3;100.3;100.3
1944;100.3;100.3;100.3;100.3;101.2;101.2;101.2;101.2;101.2;101.2;101.2;101.2
1945;101.2;101.2;101.2;101.2;101.6;101.6;101.6;101.6;101.6;101.6;101.6;101.6
1946;101.6;101.6;101.6;101.6;102.3;102.3;102.3;102.3;102.3;102.3;102.3;102.3
1947;102.3;102.3;102.3;102.3;103.3;103.3;103.3;103.3;103.3;103.3;103.3;103.3
1948;103.3;103.3;103.3;103.3;104.8;104.8;104.8;104.8;104.8;104.8;104.8;104.8
1949;104.8;104.8;104.8;104.8;106.9;106.9;106.9;106.9;106.9;106.9;106.9;106.9
1950;106.9;106.9;106.9;106.9;108.8;108.8;108.8;108.8;108.8;108.8;108.8;108.8
1951;108.8;108.8;108.8;108.8;113.4;113.4;113.4;113.4;113.4;113.4;116.8;116.8
1952;116.8;116.8;116.8;116.8;118.7;118.7;118.7;118.7;118.7;118.7;118.7;118.7
1953;118.7;118.7;118.7;118.7;120.8;120.8;120.8;120.8;120.8;120.8;120.8;120.8
1954;120.8;120.8;120.8;120.8;123;123;123;123;123;123;124.8;124.8
1955;124.8;124.8;124.8;124.8;127.8;127.8;127.8;127.8;127.8;127.8;127.8;127.8
1956;127.8;127.8;127.8;127.8;131;131;131;131;131;131;131;131
1957;131;131;131;131;134.1;134.1;134.1;134.1;134.1;134.1;134.1;134.1
1958;134.1;134.1;134.1;134.1;141.1;141.1;141.1;141.1;141.1;141.1;141.1;141.1
1959;141.1;141.1;141.1;141.1;145.5;145.5;145.5;145.5;145.5;145.5;145.5;145.5
1960;145.5;145.5;145.5;145.5;148.8;148.8;148.8;148.8;148.8;148.8;148.8;148.8
1961;148.8;148.8;148.8;148.8;153.3;153.3;153.3;153.3;153.3;153.3;157.4;157.4
1962;157.4;157.4;157.4;157.4;161.4;161.4;161.4;161.4;161.4;161.4;161.4;161.4
1963;161.4;161.4;161.4;161.4;168.2;168.2;168.2;168.2;168.2;168.2;173.1;173.1
1964;173.1;173.1;173.1;173.1;179.3;179.3;179.3;179.3;179.3;179.3;179.3;179.3
1965;179.3;179.3;179.3;179.3;190.8;190.8;190.8;190.8;190.8;190.8;190.8;190.8
1966;190.8;190.8;190.8;190.8;206.1;206.1;206.1;206.1;206.1;206.1;213.5;213.5
1967;213.5;213.5;213.5;213.5;223.8;223.8;223.8;223.8;223.8;223.8;230.8;230.8
1968;230.8;230.8;230.8;230.8;239.9;239.9;239.9;239.9;239.9;239.9;246.3;246.3
1969;246.3;246.3;246.3;246.3;254.9;254.9;254.9;254.9;254.9;254.9;261.3;261.3
1970;261.3;261.3;261.3;261.3;271.2;271.2;271.2;271.2;271.2;271.2;281.3;281.3
1971;281.3;281.3;281.3;281.3;295.1;295.1;295.1;295.1;295.1;295.1;307.9;307.9
1972;307.9;307.9;307.9;307.9;319.7;319.7;319.7;319.7;319.7;319.7;328.9;328.9
1973;328.9;328.9;328.9;328.9;339.9;339.9;339.9;339.9;339.9;339.9;351.4;351.4
1974;351.4;351.4;351.4;351.4;364.8;364.8;364.8;364.8;364.8;364.8;385.6;385.6
1975;385.6;385.6;385.6;385.6;404.2;404.2;404.2;404.2;404.2;404.2;413;413
1976;413;413;413;413;418;418;418;418;418;418;420.9;420.9
1977;420.9;420.9;420.9;420.9;422.5;422.5;422.5;422.5;422.5;422.5;422.3;422.3
1978;422.3;422.3;422.3;422.3;424.3;424.3;424.3;424.3;424.3;424.3;422.3;422.3
1979;422.3;422.3;422.3;422.3;422.8;422.8;422.8;422.8;422.8;422.8;424.3;424.3
1980;424.3;424.3;424.3;424.3;427.5;427.5;427.5;427.5;427.5;427.5;434.5;434.5
1981;434.5;434.5;434.5;434.5;447.1;447.1;447.1;447.1;447.1;447.1;467.7;467.7
1982;467.7;467.7;467.7;467.7;494.8;494.8;494.8;494.8;494.8;494.8;509.2;509.2
1983;509.2;509.2;509.2;509.2;516.6;516.6;516.6;516.6;516.6;516.6;522.1;522.1
1984;522.1;522.1;522.1;522.1;529;529;529;529;529;529;536.2;536.2
1985;536.2;536.2;536.2;536.2;546.4;546.4;546.4;546.4;546.4;546.4;556.3;556.3
1986;556.3;556.3;556.3;556.3;567.1;567.1;567.1;567.1;567.1;567.1;575.5;575.5
1987;575.5;575.5;575.5;575.5;583.4;583.4;583.4;583.4;583.4;583.4;591.1;591.1
1988;591.1;591.1;591.1;591.1;600.3;600.3;600.3;600.3;600.3;600.3;608;608
1989;608;608;608;608;619;619;619;619;619;619;650.7;650.7
1990;650.7;650.7;650.7;650.7;677.1;677.1;677.1;677.1;677.1;677.1;713;713
1991;713;713;713;713;749.2;749.2;749.2;749.2;749.2;749.2;773.3;773.3
1992;773.3;773.3;773.3;773.3;796.5;796.5;796.5;796.5;796.5;796.5;818.5;818.5
1993;818.5;818.5;818.5;818.5;839.6;839.6;839.6;843.3;843.3;843.3;837;837
1994;837;844.8;844.8;844.8;833.6;833.6;833.6;835.9;835.9;835.9;838.2;838.2
1995;838.2;839.4;839.4;839.4;847.1;847.1;847.1;852.1;852.1;852.1;854.8;854.8
1996;854.8;855.8;855.8;855.8;857.6;857.6;857.6;860.3;860.3;860.3;862.4;862.4
1997;862.4;864.4;864.4;864.4;861.7;861.7;861.7;863.3;863.3;863.3;862.4;862.4
1998;862.4;864.2;864.2;864.2;862.5;862.5;862.5;863.8;863.8;863.8;863.4;863.4
1999;863.4;866.7;866.7;866.7;867.9;867.9;867.9;874;874;874;871.7;871.7
2000;871.7;876.7;876.7;876.7;880.6;880.6;880.6;884.1;884.1;884.1;897.7;897.7
2001;897.7;902.4;902.4;902.4;908.5;908.5;908.5;910.5;910.5;910.5;913.4;913.4
2002;913.4;915.6;915.6;915.6;916.9;916.9;916.9;918.1;918.1;918.1;918.3;918.3
2003;918.3;918.1;918.1;918.1;918.1;918.1;918.1;921;921;921;921.3;921.3
2004;921.3;924.8;924.8;924.8;927.2;927.2;927.2;935.6;935.6;935.6;940.5;940.5
2005;940.5;941;941;941;941.5;941.5;941.5;944.7;944.7;944.7;949.7;949.7
2006;949.7;957.8;957.8;957.8;962.4;962.4;962.4;966;966;966;970.4;970.4
2007;970.4;979.7;979.7;979.7;986.7;986.7;986.7;986.2;986.2;986.2;990.7;990.7
2008;990.7;997.1;997.1;997.1;1009.20;1009.20;1009.20;1014.80;1014.80;1014.80;1021.20;1021.20
2009;1021.20;1031.50;1031.50;1031.50;1035.20;1035.20;1035.20;1034.80;1034.80;1034.80;1036.40;1036.40
2010;1036.40;1044.00;1044.00;1044.00;1045.60;1045.60;1045.60;1043.90;1043.90;1043.90;1050.70;1050.70
2011;1050.70;1060.10;1060.10;1060.10;1057.80;1057.80;1057.80;1058.90;1058.90;1058.90;1062.10;1062.10
2012;1062.10;1067.80;1067.80;1067.80;1065.70;1065.70;1065.70;1064.60;1064.60;1064.60;1062.20;1062.20
2013;1062.20;1064.40;1064.40;1064.40;1068.50;1068.50;1068.50;1073.70;1073.70;1073.70;1076.70;1076.70
2014;1076.70;1079.10;1079.10;1079.10;1079.70;1079.70;1079.70;1086.20;1086.20;1086.20;1088.50;1088.50
2015;1088.50;1090.20;1090.20;1090.20;1093.00;1093.00;1093.00;1094.00;1094.00;1094.00;1089.30;1089.30
2016;1089.30;1091.20;1091.20;1091.20;1093.10;1093.10;1093.10;1094.60;1094.60;1094.60;1100.70;1100.70
2017;1100.70;1102.50;1102.50;1102.50;1107.10;1107.10;1107.10;1111.90;1111.90;1111.90;1111.00;1111.00
2018;1111.00;;;;;;;;;;;
