Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
;;;;;;;100.0;100.0;100.0;100.0;100.0
100.0;100.0;100.0;100.0;99.8;99.8;99.8;99.8;99.8;99.8;99.8;99.8
99.8;99.8;99.8;99.8;99.8;99.8;99.8;99.8;99.8;99.8;99.8;99.8
99.8;99.8;99.8;99.8;100.1;100.1;100.1;100.1;100.1;100.1;100.1;100.1
100.1;100.1;100.1;100.1;100.3;100.3;100.3;100.3;100.3;100.3;100.3;100.3
100.3;100.3;100.3;100.3;101.2;101.2;101.2;101.2;101.2;101.2;101.2;101.2
101.2;101.2;101.2;101.2;101.6;101.6;101.6;101.6;101.6;101.6;101.6;101.6
101.6;101.6;101.6;101.6;102.3;102.3;102.3;102.3;102.3;102.3;102.3;102.3
102.3;102.3;102.3;102.3;103.3;103.3;103.3;103.3;103.3;103.3;103.3;103.3
103.3;103.3;103.3;103.3;104.8;104.8;104.8;104.8;104.8;104.8;104.8;104.8
104.8;104.8;104.8;104.8;106.9;106.9;106.9;106.9;106.9;106.9;106.9;106.9
106.9;106.9;106.9;106.9;108.8;108.8;108.8;108.8;108.8;108.8;108.8;108.8
108.8;108.8;108.8;108.8;113.4;113.4;113.4;113.4;113.4;113.4;116.8;116.8
116.8;116.8;116.8;116.8;118.7;118.7;118.7;118.7;118.7;118.7;118.7;118.7
118.7;118.7;118.7;118.7;120.8;120.8;120.8;120.8;120.8;120.8;120.8;120.8
120.8;120.8;120.8;120.8;123.0;123.0;123.0;123.0;123.0;123.0;124.8;124.8
124.8;124.8;124.8;124.8;127.8;127.8;127.8;127.8;127.8;127.8;127.8;127.8
127.8;127.8;127.8;127.8;131.0;131.0;131.0;131.0;131.0;131.0;131.0;131.0
131.0;131.0;131.0;131.0;134.1;134.1;134.1;134.1;134.1;134.1;134.1;134.1
134.1;134.1;134.1;134.1;141.1;141.1;141.1;141.1;141.1;141.1;141.1;141.1
141.1;141.1;141.1;141.1;145.5;145.5;145.5;145.5;145.5;145.5;145.5;145.5
145.5;145.5;145.5;145.5;148.8;148.8;148.8;148.8;148.8;148.8;148.8;148.8
148.8;148.8;148.8;148.8;153.3;153.3;153.3;153.3;153.3;153.3;157.4;157.4
157.4;157.4;157.4;157.4;161.4;161.4;161.4;161.4;161.4;161.4;161.4;161.4
161.4;161.4;161.4;161.4;168.2;168.2;168.2;168.2;168.2;168.2;173.1;173.1
173.1;173.1;173.1;173.1;179.3;179.3;179.3;179.3;179.3;179.3;179.3;179.3
179.3;179.3;179.3;179.3;190.8;190.8;190.8;190.8;190.8;190.8;190.8;190.8
190.8;190.8;190.8;190.8;206.1;206.1;206.1;206.1;206.1;206.1;213.5;213.5
213.5;213.5;213.5;213.5;223.8;223.8;223.8;223.8;223.8;223.8;230.8;230.8
230.8;230.8;230.8;230.8;239.9;239.9;239.9;239.9;239.9;239.9;246.3;246.3
246.3;246.3;246.3;246.3;254.9;254.9;254.9;254.9;254.9;254.9;261.3;261.3
261.3;261.3;261.3;261.3;271.2;271.2;271.2;271.2;271.2;271.2;281.3;281.3
281.3;281.3;281.3;281.3;295.1;295.1;295.1;295.1;295.1;295.1;307.9;307.9
307.9;307.9;307.9;307.9;319.7;319.7;319.7;319.7;319.7;319.7;328.9;328.9
328.9;328.9;328.9;328.9;339.9;339.9;339.9;339.9;339.9;339.9;351.4;351.4
351.4;351.4;351.4;351.4;364.8;364.8;364.8;364.8;364.8;364.8;385.6;385.6
385.6;385.6;385.6;385.6;404.2;404.2;404.2;404.2;404.2;404.2;413.0;413.0
413.0;413.0;413.0;413.0;418.0;418.0;418.0;418.0;418.0;418.0;420.9;420.9
420.9;420.9;420.9;420.9;422.5;422.5;422.5;422.5;422.5;422.5;422.3;422.3
422.3;422.3;422.3;422.3;424.3;424.3;424.3;424.3;424.3;424.3;422.3;422.3
422.3;422.3;422.3;422.3;422.8;422.8;422.8;422.8;422.8;422.8;424.3;424.3
424.3;424.3;424.3;424.3;427.5;427.5;427.5;427.5;427.5;427.5;434.5;434.5
434.5;434.5;434.5;434.5;447.1;447.1;447.1;447.1;447.1;447.1;467.7;467.7
467.7;467.7;467.7;467.7;494.8;494.8;494.8;494.8;494.8;494.8;509.2;509.2
509.2;509.2;509.2;509.2;516.6;516.6;516.6;516.6;516.6;516.6;522.1;522.1
522.1;522.1;522.1;522.1;529.0;529.0;529.0;529.0;529.0;529.0;536.2;536.2
536.2;536.2;536.2;536.2;546.4;546.4;546.4;546.4;546.4;546.4;556.3;556.3
556.3;556.3;556.3;556.3;567.1;567.1;567.1;567.1;567.1;567.1;575.5;575.5
575.5;575.5;575.5;575.5;583.4;583.4;583.4;583.4;583.4;583.4;591.1;591.1
591.1;591.1;591.1;591.1;600.3;600.3;600.3;600.3;600.3;600.3;608.0;608.0
608.0;608.0;608.0;608.0;619.0;619.0;619.0;619.0;619.0;619.0;650.7;650.7
650.7;650.7;650.7;650.7;677.1;677.1;677.1;677.1;677.1;677.1;713.0;713.0
713.0;713.0;713.0;713.0;749.2;749.2;749.2;749.2;749.2;749.2;773.3;773.3
773.3;773.3;773.3;773.3;796.5;796.5;796.5;796.5;796.5;796.5;818.5;818.5
818.5;818.5;818.5;818.5;839.6;839.6;839.6;843.3;843.3;843.3;837.0;837.0
837.0;844.8;844.8;844.8;833.6;833.6;833.6;835.9;835.9;835.9;838.2;838.2
838.2;839.4;839.4;839.4;847.1;847.1;847.1;852.1;852.1;852.1;854.8;854.8
854.8;855.8;855.8;855.8;857.6;857.6;857.6;860.3;860.3;860.3;862.4;862.4
862.4;864.4;864.4;864.4;861.7;861.7;861.7;863.3;863.3;863.3;862.4;862.4
862.4;864.2;864.2;864.2;862.5;862.5;862.5;863.8;863.8;863.8;863.4;863.4
863.4;866.7;866.7;866.7;867.9;867.9;867.9;874.0;874.0;874.0;871.7;871.7
871.7;876.7;876.7;876.7;880.6;880.6;880.6;884.1;884.1;884.1;897.7;897.7
897.7;902.4;902.4;902.4;908.5;908.5;908.5;910.5;910.5;910.5;913.4;913.4
913.4;915.6;915.6;915.6;916.9;916.9;916.9;918.1;918.1;918.1;918.3;918.3
918.3;918.1;918.1;918.1;918.1;918.1;918.1;921.0;921.0;921.0;921.3;921.3
921.3;924.8;924.8;924.8;927.2;927.2;927.2;935.6;935.6;935.6;940.5;940.5
940.5;941.0;941.0;941.0;941.5;941.5;941.5;944.7;944.7;944.7;949.7;949.7
949.7;957.8;957.8;957.8;962.4;962.4;962.4;966.0;966.0;966.0;970.4;970.4
970.4;979.7;979.7;979.7;986.7;986.7;986.7;986.2;986.2;986.2;990.7;990.7
990.7;997.1;997.1;997.1;1'009.2;1'009.2;1'009.2;1'014.8;1'014.8;1'014.8;1'021.2;1'021.2
1'021.2;1'031.5;1'031.5;1'031.5;1'035.2;1'035.2;1'035.2;1'034.8;1'034.8;1'034.8;1'036.4;1'036.4
1'036.4;1'044.0;1'044.0;1'044.0;1'045.6;1'045.6;1'045.6;1'043.9;1'043.9;1'043.9;1'050.7;1'050.7
1'050.7;1'060.1;1'060.1;1'060.1;1'057.8;1'057.8;1'057.8;1'058.9;1'058.9;1'058.9;1'062.1;1'062.1
1'062.1;1'067.8;1'067.8;1'067.8;1'065.7;1'065.7;1'065.7;1'064.6;1'064.6;1'064.6;1'062.2;1'062.2
1'062.2;1'064.4;1'064.4;1'064.4;1'068.5;1'068.5;1'068.5;1'073.7;1'073.7;1'073.7;1'076.7;1'076.7
1'076.7;1'079.1;1'079.1;1'079.1;1'079.7;1'079.7;1'079.7;1'086.2;1'086.2;1'086.2;1'088.5;1'088.5
1'088.5;1'090.2;1'090.2;1'090.2;1'093.0;1'093.0;1'093.0;1'094.0;1'094.0;1'094.0;1'089.3;1'089.3
1'089.3;1'091.2;1'091.2;1'091.2;1'093.1;1'093.1;1'093.1;1'094.6;1'094.6;1'094.6;1'100.7;1'100.7
1'100.7;1'102.5;1'102.5;1'102.5;1'107.1;1'107.1;1'107.1;1'111.9;1'111.9;1'111.9;1'111.0;1'111.0
1'111.0;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
